Ranking,Pontos,Nome,Clube,Rating,Categoria
67,862,GIOVANNA TSUMURA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,E,F
69,860,KELLY DANIEL,ASMETT BRASÍLIA - DF,E,F
70,854,FABIANA MASSARETTO,NIPO CAMPO MOURÃO - PR,E,F
71,853,JAYNARA MACEDO,PENDRAGON SÃO LUIS - MA,E,F
71,853,SILVANA RODRIGUES,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,E,F
73,850,LAÍS KUROTOBI,SANTO ANDRÉ / ADSA - SP,E,F
74,849,TACIANA MARANHÃO,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,E,F
75,841,MARIA COMIN,ASSOC. DE TÊNIS DE MESA - GÊMEOS TT - SC,E,F
76,839,NATÁLIA PEREIRA,SPORT CLUB RECIFE - PE,E,F
77,838,MARIA OLIVEIRA,ASSOC. VARGINHENSE DE ESPORTE-MG,E,F
78,837,JULIANA SILVA,AACD SÃO PAULO - SP,E,F
79,827,CAROLLINA MALDONADO,ADIPPNE SÃO PAULO - SP,E,F
79,827,LETICIA GROKE,CLUBE NÁUTICO DE VOLTA REDONDA - RJ,E,F
